"","Provider.ID","Score.READM_30_AMI","Score.READM_30_CABG","Score.READM_30_COPD","Score.READM_30_HF","Score.READM_30_HIP_KNEE","Score.READM_30_HOSP_WIDE","Score.READM_30_PN","Score.READM_30_STK"
"2311",30121,-0.408635919553653,0.969807789261838,0.315566434212226,1.29924966911858,0.884008345596638,0.0266854082993196,0.200475429655977,-0.714285264099761
"2325",30122,NA,NA,0.394312336941977,1.03211011908012,0.884008345596638,1.11599534150843,-0.843607144679538,-0.155064980283628
"2339",30123,-0.721698314120792,NA,-0.156908982166268,-0.637512068660284,-1.28413426044236,-1.30469339895626,-0.843607144679538,-0.0618615996476058
"2353",30130,NA,NA,-1.02311391219351,-0.771081843679515,0.52265124459014,-0.941590087886559,-0.704396134768135,NA
"2367",30131,NA,NA,NA,NA,-0.742098608932607,0.51082315639226,NA,NA
"2381",30132,NA,NA,-0.0781630794365205,NA,NA,0.147719845322554,0.409291944523081,NA
"2395",30134,NA,NA,-0.156908982166268,NA,NA,0.0266854082993196,0.27008093461168,NA
"2409",30136,NA,NA,NA,NA,NA,NA,NA,NA
"2423",30137,NA,NA,NA,NA,NA,NA,NA,NA
"2437",31300,NA,NA,-1.02311391219351,NA,NA,0.389788719369025,-0.28676310503393,NA
"2451",31301,NA,NA,-0.0781630794365205,NA,NA,0.994960904485198,0.200475429655977,NA
"2465",31302,NA,NA,0.0793287260229804,NA,NA,-0.336417902770384,-0.495579619901034,NA
"2479",31304,NA,NA,NA,NA,NA,-0.457452339793621,-0.28676310503393,NA
"2493",31305,NA,NA,NA,NA,NA,0.0266854082993196,-0.217157600078228,NA
"2507",31307,NA,NA,NA,NA,NA,NA,NA,NA
"2521",31308,NA,NA,NA,NA,NA,NA,NA,NA
"2535",31309,NA,NA,NA,NA,NA,0.0266854082993196,0.0612644197445757,NA
"2549",31311,NA,NA,NA,-0.637512068660284,NA,-0.0943490287239149,-0.495579619901034,NA
"2563",31312,NA,NA,0.315566434212226,NA,NA,-0.578486776816855,-0.425974114945332,NA
"2577",31313,NA,NA,NA,NA,NA,NA,NA,NA
"2591",31314,NA,NA,-0.944368009463761,-0.503942293641052,0.52265124459014,-0.0943490287239149,-0.843607144679538,NA
"2605",31315,NA,NA,NA,NA,NA,-0.336417902770384,-0.425974114945332,NA
"2619",31317,-0.512990051076034,NA,0.394312336941977,-0.904651618698747,NA,-0.0943490287239149,0.339686439567382,NA
"2633",33301,NA,NA,NA,NA,NA,NA,NA,NA
"2647",33302,NA,NA,NA,NA,NA,NA,NA,NA
"2661",33303,NA,NA,NA,NA,NA,NA,NA,NA
"2675",40001,NA,NA,-0.314400787625766,1.29924966911858,0.34197269408689,0.51082315639226,-0.217157600078228,0.217748542260461
"2689",40002,NA,NA,-0.314400787625766,1.90031365670512,-0.380741507926107,-0.336417902770384,-1.33084567936945,-0.341471741555673
"2703",40004,-0.0955735249865146,-0.361258585789714,0.630550045131225,-0.303587631112204,-1.28413426044236,-1.0626245249098,-1.60926769919225,1.14978234862068
"2717",40007,-0.512990051076034,-0.361258585789714,-0.471892593085267,1.83352876919551,-0.0193844069196096,0.873926467461965,-0.704396134768135,-1.18030216727987
"2731",40010,-0.0955735249865146,-1.42611168583096,0.236820531482478,-0.437157406131435,0.703329795093389,-1.18365896193303,0.130869924700278,0.776968826076594
"2745",40011,NA,NA,0.866787753320474,2.83530208183975,NA,0.752892030438729,2.28864057832701,-0.24826836091965
"2759",40014,0.426197132625382,NA,-0.471892593085267,-0.370372518621821,0.161294143583641,0.147719845322554,0.896530479212989,0.310951922896483
"2773",40015,NA,NA,-0.393146690355517,0.0303368064358759,NA,0.0266854082993196,0.0612644197445757,-1.18030216727987
"2787",40016,1.57409257937155,NA,0.945533656050221,0.364261243983956,-0.380741507926107,1.84220196364785,2.21903507337131,1.42939249052875
