"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"118208",310047,NA,0.453197226111084,-0.25637573291457,0.713554481085865,-0.933391258268663,0.675765164740567,0.407490292874398,-1.35582400543475,0.666902454991369,NA,0.994864592348537,0.698768640616738,0.702345900315909,0.46692877883724,0.774958507675727,0.63126502596982,-1.14779237745878,-1.38835735574073
"118251",310048,NA,0.443232941019153,0.384335164063009,0.713554481085865,NA,0.512165946380169,0.270276890320677,NA,0.672952925672987,0.880135439199095,0.991355819275913,0.668046793952832,0.702345900315909,0.485880515405575,0.760298008013938,-1.63237690108392,0.853887621468623,0.546524719800451
"118294",310050,NA,0.483090081386879,0.292805035923355,0.713554481085865,0.0445802601241394,0.257143635406607,-0.167920750092819,NA,0.672952925672987,0.820699159416374,NA,0.698768640616738,0.702345900315909,0.495356383689743,-1.32515806887555,-1.63237690108392,0.926808568606234,NA
"118337",310051,NA,0.478107938840914,0.329417087179217,0.706378157225529,NA,-0.921733085131557,0.230440741192177,NA,-0.0228512027130896,0.891279741658355,1.01942600385691,0.683407717284785,0.702345900315909,0.471666712979324,0.760298008013938,0.627258580081229,0.912224379178712,-0.754913819105226
"118380",310052,NA,0.483090081386879,0.256192984667493,0.706378157225529,0.687247257925124,-0.498299814081115,-0.119232123380209,-1.35582400543475,-0.694453448372694,-1.21870819062824,1.01942600385691,0.702608871449727,0.725541619431584,0.509570186115995,-1.32515806887555,0.647290809524183,0.934100663319995,0.546524719800451
"118423",310054,NA,0.45817936865705,-0.210610668844743,0.706378157225529,NA,-0.55122897296242,-0.402511406071762,NA,-0.361677560883701,NA,-0.991100966757019,0.668046793952832,0.721675666245638,0.376908030137647,0.756632883098491,0.655303701301364,0.915870426535592,0.546524719800451
"118466",310057,NA,0.453197226111084,0.393488176876975,0.713554481085865,0.568493573548855,0.627647747575744,0.562408650596341,0.757146153210129,0.666902454991369,0.891279741658355,NA,-1.50168362668554,0.702345900315909,0.504832251973911,0.774958507675727,0.667323038967136,0.861179716182384,0.546524719800451
"118509",310058,NA,0.438250798473187,-0.25637573291457,-0.111722762852864,NA,0.439989820632934,0.314539278241232,NA,NA,NA,NA,NA,NA,0.263197610727634,NA,NA,NA,NA
"118552",310060,NA,0.483090081386879,0.366029138435078,0.706378157225529,NA,0.478483754364792,0.721753247110339,-1.35582400543475,NA,NA,0.987847046203288,0.691088178950762,0.632758742968885,0.495356383689743,0.774958507675727,0.627258580081229,0.915870426535592,0.546524719800451
"118595",310061,NA,0.453197226111084,0.439253240946802,-0.111722762852864,0.43576886748126,-0.868803926250252,-0.353822779359151,0.768247572607562,NA,NA,NA,0.698768640616738,-1.4935155093013,0.504832251973911,0.778623632591174,-1.63237690108392,-1.14779237745878,NA
"118638",310064,0.142905867979117,0.408357943197392,0.237886959039563,-0.111722762852864,NA,0.545848138395545,0.429621486834675,NA,-1.36000522335068,0.872705904226255,-0.991100966757019,-1.50168362668554,0.725541619431584,0.481142581263492,0.760298008013938,0.647290809524183,0.857533668825504,0.546524719800451
"118681",310069,NA,0.483090081386879,-0.25637573291457,-0.908294711350247,NA,-0.92654482684804,-0.0307073475390984,0.757146153210129,-0.694453448372694,NA,-0.991100966757019,0.633484716455938,-1.4935155093013,0.485880515405575,0.756632883098491,0.575174783529551,-1.14779237745878,NA
"118724",310070,0.601650385810914,0.483090081386879,0.146356830899908,0.713554481085865,NA,0.574718588694438,0.243719457568344,NA,0.672952925672987,NA,1.01942600385691,-1.50168362668554,-1.4935155093013,0.509570186115995,-1.32515806887555,0.655303701301364,0.941392758033756,0.546524719800451
"118767",310073,0.59238281979411,0.478107938840914,0.247039971853528,-0.908294711350247,NA,-0.657087290725031,0.615523516101007,NA,-0.0228512027130896,0.880135439199095,1.02293477692953,0.691088178950762,0.725541619431584,0.471666712979324,0.778623632591174,0.579181229418141,0.926808568606234,-0.754913819105226
"118810",310074,NA,-2.37665973999749,0.375182151249044,-0.908294711350247,NA,0.0309917747319384,-1.2346442989782,NA,0.666902454991369,NA,-0.991100966757019,-1.50168362668554,-1.4935155093013,0.481142581263492,0.767628257844833,0.635271471858411,0.945038805390636,-1.38835735574073
