"","Provider.ID","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_score"
"80",10158,1577,NA,338,2636,962,2209,NA
"81",10164,2027,NA,480,357,1521,2432,NA
"82",10168,NA,NA,NA,NA,1514,NA,NA
"83",10169,NA,NA,385,646,308,1796,NA
"84",11300,NA,NA,NA,NA,NA,NA,NA
"85",11302,NA,NA,1301,NA,1215,NA,NA
"86",11304,NA,NA,NA,NA,1431,NA,NA
"87",11305,NA,NA,2543,2229,141,NA,NA
"88",13300,NA,NA,NA,NA,NA,NA,NA
"89",13301,NA,NA,NA,NA,NA,NA,NA
"90",20001,1441,75,1072,1498,1831,1492,931
"91",20006,2606,NA,582,450,1319,2555,NA
"92",20008,NA,NA,1769,1704,2515,1743,NA
"93",20012,99,NA,2714,2404,164,2340,NA
"94",20017,267,1959,2063,2543,75,2650,1151
"95",20018,NA,NA,1854,1257,2568,NA,NA
"96",20024,NA,NA,2568,2324,678,1882,NA
"97",20026,1769,NA,2568,2305,935,2650,2011
"98",21301,NA,NA,NA,NA,NA,NA,NA
"99",21302,NA,NA,NA,NA,NA,NA,NA
"100",21303,NA,NA,NA,NA,1167,NA,NA
"101",21304,NA,NA,NA,NA,NA,NA,NA
"102",21305,NA,NA,NA,NA,NA,NA,NA
"103",21306,NA,NA,1112,NA,1431,NA,NA
"104",21307,NA,NA,NA,NA,NA,NA,NA
"105",21308,NA,NA,NA,NA,1257,NA,NA
"106",21309,NA,NA,NA,NA,NA,NA,NA
"107",21310,NA,NA,NA,NA,NA,NA,NA
"108",21311,NA,NA,1514,NA,2450,NA,NA
"109",21312,NA,NA,1167,NA,NA,NA,NA
"110",21313,NA,NA,1257,NA,2063,NA,NA
"111",30001,NA,NA,1905,1112,1934,1347,NA
"112",30002,800,14,566,1209,1103,980,1307
"113",30006,1416,803,1032,1964,2080,1233,930
"114",30007,348,NA,840,697,1395,308,599
"115",30010,606,2432,614,847,1107,1072,1538
"116",30011,1060,NA,1099,1107,1978,1542,2028
"117",30012,1716,205,1198,1021,1926,1124,540
"118",30013,2061,877,2232,2144,363,1646,1503
"119",30014,196,2007,930,1086,1894,840,545
"120",30016,27,NA,1174,235,1512,1984,1564
"121",30022,NA,NA,NA,NA,1514,NA,NA
"122",30023,826,214,196,918,1603,800,326
"123",30024,318,2450,431,431,1040,1521,2918
"124",30030,539,2288,2450,557,471,196,1351
"125",30033,2529,NA,108,2760,759,1610,NA
"126",30036,1128,598,1238,1523,2236,1322,784
"127",30037,2432,1824,1704,2229,2105,NA,1797
"128",30038,512,1984,942,1526,2081,1611,1684
"129",30043,894,NA,988,557,1392,1984,1586
"130",30055,894,1743,1899,1484,2146,338,1958
"131",30061,1583,1082,2177,2003,2620,1594,348
"132",30062,235,NA,108,2749,1005,63,1274
"133",30064,918,299,2665,1036,1716,737,2162
"134",30065,862,2529,1290,1322,2210,1113,3020
"135",30068,NA,NA,1854,1391,245,NA,NA
"136",30069,1082,2582,1179,1591,2013,557,1006
"137",30071,NA,NA,NA,1301,506,NA,NA
"138",30073,NA,NA,NA,1670,308,NA,NA
"139",30074,NA,NA,NA,NA,NA,NA,NA
"140",30077,NA,NA,NA,NA,NA,NA,NA
"141",30078,NA,NA,NA,NA,1347,NA,NA
"142",30083,2154,NA,2606,2404,450,NA,NA
"143",30084,NA,NA,NA,NA,385,NA,NA
"144",30085,792,2623,1251,1362,2214,1269,653
"145",30087,1168,2701,1265,1969,2644,582,2033
"146",30088,2007,NA,2290,1492,270,2199,306
"147",30089,935,2543,1503,1203,2161,865,822
"148",30092,365,2275,750,871,1782,348,1628
"149",30093,1671,NA,1831,1698,2459,1964,607
"150",30094,2727,2194,575,395,1468,225,1332
"151",30101,1036,NA,1758,1380,1228,385,1827
"152",30103,975,2259,480,1982,2455,1518,2818
"153",30105,2025,1179,1547,2094,1431,NA,1169
"154",30107,NA,NA,NA,NA,NA,NA,NA
"155",30108,NA,NA,NA,NA,NA,NA,NA
"156",30110,245,1391,640,365,1290,99,1499
"157",30111,99,NA,2007,2568,299,1796,1549
"158",30112,NA,NA,NA,NA,NA,NA,NA
"159",30113,NA,NA,NA,NA,2088,NA,NA
"160",30114,267,NA,834,871,1385,299,1525
"161",30115,196,1167,710,591,1376,2738,920
"162",30117,2432,NA,737,506,328,1577,NA
"163",30118,1391,NA,498,2340,958,2404,NA
"164",30119,176,NA,1017,909,2054,606,340
"165",30120,NA,NA,NA,NA,1824,NA,NA
"166",30121,925,2229,669,622,1539,703,2023
"167",30122,1257,NA,521,521,1542,2450,534
"168",30123,2606,NA,245,669,1380,2088,868
"169",30130,NA,NA,2275,1301,2246,NA,NA
"170",30131,NA,NA,NA,NA,NA,NA,NA
"171",30132,NA,NA,1301,NA,1882,NA,NA
"172",30134,NA,NA,1984,NA,2046,NA,NA
"173",30136,NA,NA,NA,NA,NA,NA,NA
"174",30137,NA,NA,NA,NA,NA,NA,NA
"175",31300,NA,NA,2007,NA,2650,NA,NA
"176",31301,NA,NA,1301,NA,2027,NA,NA
"177",31302,NA,NA,1796,NA,119,NA,NA
"178",31304,NA,NA,NA,NA,NA,NA,NA
"179",31305,NA,NA,NA,NA,1640,NA,NA
"180",31307,NA,NA,NA,NA,NA,NA,NA
"181",31308,NA,NA,NA,NA,NA,NA,NA
"182",31309,NA,NA,NA,NA,2324,NA,NA
"183",31311,NA,NA,NA,NA,2529,NA,NA
"184",31312,NA,NA,NA,NA,1478,NA,NA
"185",31313,NA,NA,NA,NA,NA,NA,NA
"186",31314,NA,NA,196,488,942,NA,NA
"187",31315,NA,NA,NA,NA,1547,NA,NA
"188",31317,2340,NA,2209,2194,52,NA,NA
"189",33301,NA,NA,NA,NA,NA,NA,NA
"190",33302,NA,NA,NA,NA,NA,NA,NA
