"","Provider.ID","MORT_30_AMI_denominator","MORT_30_CABG_denominator","MORT_30_COPD_denominator","MORT_30_HF_denominator","MORT_30_PN_denominator","MORT_30_STK_denominator","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_denominator","PSI_4_SURG_COMP_score"
"151",30101,60,NA,236,36,85,60,1036,NA,1758,1380,1228,385,4392,1827
"152",30103,20,111,232,257,21,73,975,2259,480,1982,2455,1518,3469,2818
"153",30105,31,194,251,250,82,NA,2025,1179,1547,2094,1431,NA,132,1169
"154",30107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",30108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",30110,41,188,241,13,65,51,245,1391,640,365,1290,99,4699,1499
"157",30111,51,NA,242,22,70,54,99,NA,2007,2568,299,1796,2724,1549
"158",30112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",30113,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,2088,NA,NA,NA
"160",30114,41,NA,227,34,44,42,267,NA,834,871,1385,299,2724,1525
"161",30115,48,192,239,253,51,56,196,1167,710,591,1376,2738,5539,920
"162",30117,41,NA,226,19,70,45,2432,NA,737,506,328,1577,NA,NA
"163",30118,47,NA,7,37,74,50,1391,NA,498,2340,958,2404,NA,NA
"164",30119,52,NA,229,23,38,69,176,NA,1017,909,2054,606,6269,340
"165",30120,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,1824,NA,NA,NA
"166",30121,55,114,251,26,65,66,925,2229,669,622,1539,703,202,2023
"167",30122,45,NA,241,31,57,47,1257,NA,521,521,1542,2450,5539,534
"168",30123,35,NA,228,8,35,36,2606,NA,245,669,1380,2088,4392,868
"169",30130,NA,NA,237,26,47,NA,NA,NA,2275,1301,2246,NA,NA,NA
"170",30131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",30132,NA,NA,240,NA,71,NA,NA,NA,1301,NA,1882,NA,NA,NA
"172",30134,NA,NA,233,NA,49,NA,NA,NA,1984,NA,2046,NA,NA,NA
"173",30136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",30137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",31300,NA,NA,234,NA,44,NA,NA,NA,2007,NA,2650,NA,NA,NA
"176",31301,NA,NA,235,NA,50,NA,NA,NA,1301,NA,2027,NA,NA,NA
"177",31302,NA,NA,235,NA,39,NA,NA,NA,1796,NA,119,NA,NA,NA
"178",31304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",31305,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,1640,NA,NA,NA
"180",31307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",31308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",31309,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,2324,NA,NA,NA
"183",31311,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,2529,NA,NA,NA
"184",31312,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,1478,NA,NA,NA
"185",31313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",31314,NA,NA,234,245,37,NA,NA,NA,196,488,942,NA,NA,NA
"187",31315,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,1547,NA,NA,NA
"188",31317,39,NA,238,32,73,NA,2340,NA,2209,2194,52,NA,NA,NA
