"","Provider.ID","Score.OP_10","Score.OP_11","Score.OP_13","Score.OP_14","Score.OP_8","Score.OP_9"
"247",10083,1.1953298391991,1.88850272837459,0.454307753512083,0.756036093775735,-1.17944860483585,-0.441770675443454
"253",10085,0.452754425493331,1.13516090902477,-0.241657797048741,-0.528674635501885,0.147530451389674,-0.0425828768091153
"259",10086,-0.348445362978687,-0.046216034955634,-0.191945972008683,NA,1.93606744021537,-0.182298606331134
"265",10087,1.35166150524242,2.1110809931825,NA,2.04074682305335,NA,NA
"271",10089,-0.377757550361809,0.895461239231645,NA,0.113680729136925,2.33993063124053,-0.741161524419208
"277",10090,3.1299342064852,0.655761569438519,NA,0.756036093775735,1.02737526040877,-0.361933115716586
"283",10091,2.13331983545903,3.56640041692647,NA,NA,NA,-0.00266409694568118
"289",10092,-0.670879424193035,-0.508493969556662,-0.639352397369213,0.113680729136925,1.01295157501501,0.915467839913298
"295",10095,-0.876064735874893,NA,NA,-1.17103000014069,NA,NA
"301",10097,0.296422759450011,NA,NA,NA,NA,-0.781080304282642
"307",10099,2.41667098016255,-0.268794299763536,-0.689064222409272,-1.06397077270089,2.81591224923447,0.0572140728494695
"313",10100,0.638398278919774,0.124998014896598,NA,0.702506480055833,-0.213061683454217,-0.0625422667408322
"319",10101,0.335505675960841,0.604397354482849,-0.639352397369213,NA,NA,-1.06051176332668
"325",10102,-0.172572238679951,NA,NA,NA,NA,-0.761120914350925
"331",10103,0.374588592471671,0.55303313952718,NA,0.113680729136925,0.29176730532723,-0.820999084146076
"337",10104,0.433212967237916,-0.457129754600992,0.106324978231671,0.863095321215536,0.52254627162732,-0.40185189558002
"343",10108,-0.0944064056582907,-0.440008349615769,NA,NA,1.79183058627782,-0.801039694214359
"349",10109,-0.504777029022007,-0.371522729674876,NA,NA,NA,0.536239431210676
"355",10110,-0.709962340703865,-0.542736779527108,NA,NA,NA,NA
"361",10112,0.276881301194596,0.912582644216868,NA,NA,0.248496249145963,-1.39982139216587
"367",10113,5.43582628062417,-0.457129754600992,NA,0.113680729136925,-0.126519571091684,0.0771734627811867
"373",10114,-0.00646984350892281,-0.542736779527108,2.19422162991415,NA,-0.645772245266886,0.516280041278959
"379",10118,-0.436381925128054,-0.251672894778313,-0.341081447128859,-0.368085794342182,-0.443840649754308,-0.162339216399417
"385",10120,-0.00646984350892281,-0.303037109733983,0.305172278391907,-0.368085794342182,1.41681476604017,1.09510234929875
"391",10125,-0.250738071701611,NA,0.00690132815155329,NA,-0.50153539132933,0.835630280186431
"397",10126,0.824042132346217,-0.18318727483742,0.802290528792496,NA,NA,-1.02059298346325
"403",10128,2.01607108592654,NA,NA,NA,NA,0.0172952929860357
"409",10129,2.27988077237464,1.47758900872924,NA,NA,NA,0.496320651347243
"415",10130,0.843583590601633,3.58352182191169,NA,0.809565707495635,NA,-0.202257996262851
"421",10131,-0.289820988212441,-0.474251159586215,-0.341081447128859,2.62957257397226,0.248496249145963,-0.501648845238605
"427",10138,NA,NA,NA,NA,NA,NA
"433",10139,0.267110572066888,-0.542736779527108,-0.539928747289095,-0.528674635501885,1.82067795706533,NA
"439",10144,2.64139775009982,-0.542736779527108,0.056613153191612,-0.368085794342182,NA,-0.40185189558002
"445",10146,1.87928087813863,-0.542736779527108,NA,3.59310562093048,NA,1.51424953786481
"451",10148,-0.416840466872639,0.775611404335082,NA,1.77309875445385,-0.0688248295166607,NA
"457",10149,-0.309362446467856,-0.491372564571438,NA,0.756036093775735,0.407156788477275,NA
"463",10150,-0.280050259084734,0.0393909899704822,-0.589640572329154,NA,NA,-0.960714813668095
"469",10157,1.50799317128574,0.347576279704501,NA,NA,0.0754120244208957,2.75173171363126
"475",10158,0.804500674090802,2.83018000256187,NA,NA,1.09949368737755,0.815670890254714
"481",10164,-0.661108695065328,-0.23455148979309,1.10056147903285,0.541917638896131,0.811019979502433,-0.581486404965473
"487",10168,-0.661108695065328,-0.542736779527108,NA,NA,NA,NA
"493",10169,1.16601765181598,NA,2.4924925801545,NA,NA,-0.0425828768091153
"499",11300,-0.514547758149715,0.142119419881822,NA,NA,NA,NA
"505",11302,0.0228423438741997,NA,NA,NA,NA,-0.222217386194568
"511",11304,-0.338674633850979,-0.251672894778313,NA,NA,NA,NA
"517",11305,-0.113947863913706,0.484547519586287,NA,NA,NA,0.436442481552092
"523",13300,NA,NA,NA,NA,NA,NA
"529",13301,NA,NA,NA,NA,NA,NA
"535",20001,-0.397299008617224,-0.422886944630545,-1.3850297729701,-0.689263476661587,1.41681476604017,NA
"541",20006,-0.201884426063073,-0.337279919704429,NA,-0.528674635501885,NA,0.636036380869261
"547",20008,-0.582942862043667,-0.542736779527108,NA,NA,NA,-0.0226234868773981
"553",20012,-0.465694112511177,-0.491372564571438,0.354884103431966,-0.796322704101389,3.11880964250333,-0.0825016566725491
"559",20017,-0.143260051296828,-0.285915704748759,NA,NA,NA,0.0971328527129036
"565",20018,NA,NA,NA,NA,NA,NA
"571",20026,NA,NA,NA,NA,NA,NA
"577",21303,NA,NA,NA,NA,NA,NA
"583",21306,NA,NA,NA,NA,NA,0.995305399640166
"589",21308,NA,NA,NA,NA,NA,NA
"595",21309,NA,NA,NA,NA,NA,NA
"601",21310,NA,NA,NA,NA,NA,NA
"607",21311,-0.231196613446196,-0.542736779527108,NA,NA,NA,-0.441770675443454
"613",30001,-0.76858671547011,NA,NA,NA,NA,NA
"619",30002,0.550461716770407,-0.542736779527108,-1.63358889817039,NA,NA,-0.182298606331134
"625",30006,-0.700191611576158,-0.046216034955634,-0.838199697529448,1.66603952701405,NA,0.0572140728494695
"631",30007,-0.582942862043667,-0.542736779527108,-0.73877604744933,0.167210342856826,-1.25156703180462,-0.701242744555775
"637",30010,-0.338674633850979,0.107876609911375,-0.490216922249036,1.02368416237524,NA,-0.581486404965473
"643",30011,-0.709962340703865,-0.0975802499113037,-0.440505097208977,1.07721377609514,NA,NA
"649",30012,0.149861822534398,2.67608735769486,-0.539928747289095,-0.261026566902381,NA,-0.0226234868773981
"655",30013,4.23402659791615,0.621518759468073,0.255460453351848,0.0601511154170239,0.0754120244208957,-0.441770675443454
"661",30014,-0.231196613446196,-0.251672894778313,2.14450980487409,2.20133566421306,1.22930685592135,-0.0226234868773981
"667",30016,1.64478337907365,-0.200308679822643,1.15027330407291,-0.0469081120227776,NA,-0.501648845238605
"673",30022,-0.446152654255762,-0.268794299763536,NA,NA,NA,-0.122420436535983
"679",30023,-0.76858671547011,-0.457129754600992,-1.83243619833063,0.702506480055833,-0.169790627272951,NA
"685",30024,-0.602484320299082,-0.542736779527108,2.2439334549542,-0.528674635501885,-0.991940694717023,-0.242176776126285
"691",30030,-0.61225504942679,NA,0.802290528792496,NA,NA,-1.10043054319011
"697",30033,0.110778906023568,0.330454874719277,-1.33531794793004,NA,-1.61215916664851,-0.761120914350925
"703",30036,-0.797898902853233,-0.542736779527108,0.255460453351848,0.702506480055833,NA,0.815670890254714
"709",30037,-0.739274528086988,NA,NA,NA,NA,NA
"715",30038,-0.817440361108648,-0.166065869852197,1.29940877919308,-0.20749695318248,NA,NA
"721",30043,0.501608071131869,0.792732809320305,0.00690132815155329,-0.100437725742678,0.998527889621256,1.17493990902562
"727",30055,0.433212967237916,1.46046760374401,-0.241657797048741,0.0601511154170239,-1.38138020034842,-0.182298606331134
"733",30061,-0.61225504942679,-0.371522729674876,-1.33531794793004,0.488388025176231,NA,0.157011022508054
"739",30062,0.355047134216256,2.3336592579904,2.34335710503432,0.648976866335933,1.1139173727713,-0.182298606331134
"745",30064,-0.72950379895928,-0.542736779527108,0.852002353832555,1.93368759561355,-0.50153539132933,-1.04055237339496
"751",30065,-0.661108695065328,-0.217430084807866,-1.3850297729701,0.916624934935437,NA,NA
"757",30068,-0.475464841638885,-0.337279919704429,-1.23589429784992,NA,NA,-0.621405184828907
"763",30069,0.609086091536652,0.279090659763608,-0.887911522569507,0.167210342856826,-0.515959076723086,-0.202257996262851
"769",30071,NA,NA,NA,NA,NA,NA
"775",30073,NA,NA,NA,NA,NA,NA
"781",30074,NA,NA,NA,NA,NA,NA
"787",30077,NA,NA,NA,NA,NA,NA
"793",30078,NA,NA,NA,NA,NA,NA
"799",30083,-0.719733069831573,NA,NA,1.55898029957425,NA,NA
"805",30084,NA,NA,NA,NA,NA,NA
"811",30085,-0.192113696935366,0.707125784394189,-0.390793272168918,-1.01044115898099,NA,-0.880877253941227
"817",30087,-0.846752548491771,-0.18318727483742,0.00690132815155329,-0.314556180622282,NA,NA
"823",30088,-0.582942862043667,-0.388644134660099,0.15603680327173,0.00662150169712307,NA,0.935427229845015
"829",30089,-0.709962340703865,-0.457129754600992,1.59767972943344,0.113680729136925,NA,-0.781080304282642
"835",30092,-0.416840466872639,-0.320158514719206,1.10056147903285,1.29133223097474,NA,0.396523701688658
"841",30093,-0.319133175595564,0.878339834246421,1.34912060423314,-0.421615408062083,0.883138406471211,0.0372546829177526
"847",30094,-0.57317213291596,0.159240824867045,NA,NA,NA,-0.0226234868773981
"853",30101,0.423442238110209,1.25501074392133,NA,1.13074338981504,NA,-1.22018688278042
"859",30103,-0.250738071701611,-0.457129754600992,1.74681520455361,-0.261026566902381,-0.169790627272951,NA
"865",30105,NA,NA,NA,NA,NA,NA
"871",30107,NA,NA,NA,NA,NA,NA
"877",30108,NA,NA,NA,NA,NA,NA
"883",30110,-0.72950379895928,-0.303037109733983,NA,0.863095321215536,NA,NA
"889",30111,-0.72950379895928,-0.542736779527108,3.53644090599574,0.863095321215536,NA,NA
"895",30112,NA,NA,NA,NA,NA,NA
"901",30113,NA,NA,NA,NA,NA,NA
"907",30114,-0.240967342573904,0.176362229852268,-0.0925223219285646,-0.84985231782129,NA,-0.262136166058002
"913",30115,-0.700191611576158,-0.23455148979309,NA,-0.100437725742678,NA,NA
"919",30117,1.1953298391991,2.57335892778352,NA,-0.368085794342182,0.147530451389674,-0.621405184828907
"925",30118,0.784959215835387,1.54607462867013,-0.0925223219285646,-0.635733862941686,0.133106765995918,-0.322014335853152
"931",30119,-0.788128173725526,-0.542736779527108,0.60344322863226,0.0601511154170239,NA,0.376564311756941
"937",30120,-0.876064735874893,NA,NA,NA,NA,NA
"943",30121,-0.475464841638885,-0.303037109733983,NA,1.45192107213444,NA,0.995305399640166
"949",30122,-0.661108695065328,-0.474251159586215,NA,1.34486184469464,NA,0.0971328527129036
"955",30123,-0.856523277619478,-0.542736779527108,-0.142234146968623,0.541917638896131,NA,NA
"961",30130,-0.592713591171375,-0.405765539645322,NA,NA,NA,NA
"967",30131,NA,NA,NA,NA,NA,NA
"973",30132,-0.231196613446196,NA,NA,NA,NA,NA
"979",30134,-0.827211090236356,-0.542736779527108,NA,NA,NA,NA
"985",30136,NA,NA,NA,NA,NA,NA
"991",30137,NA,NA,NA,NA,NA,NA
"997",31300,1.04876890228349,0.570154544512403,NA,1.13074338981504,1.77740690088406,0.336645531893507
"1003",31301,NA,NA,NA,NA,NA,NA
"1009",31302,NA,NA,NA,NA,NA,NA
"1015",31304,-0.348445362978687,NA,NA,NA,NA,-1.06051176332668
"1021",31305,NA,NA,NA,NA,NA,NA
"1027",31307,NA,NA,NA,NA,NA,NA
"1033",31308,NA,NA,NA,NA,NA,NA
"1039",31309,-0.876064735874893,NA,NA,NA,NA,NA
"1045",31311,NA,NA,NA,NA,NA,NA
"1051",31312,NA,NA,NA,NA,NA,NA
"1057",31313,0.394130050727086,0.433183304630617,NA,NA,NA,-1.00063359353153
"1063",31314,0.169403280789813,1.75153148849281,NA,-0.796322704101389,NA,-0.282095555989719
"1069",31315,-0.0162405726366303,-0.217430084807866,-0.639352397369213,NA,NA,NA
"1075",31317,NA,NA,NA,NA,NA,NA
"1081",33301,NA,NA,NA,NA,NA,NA
"1087",33302,NA,NA,NA,NA,NA,NA
"1093",33303,NA,NA,NA,NA,NA,NA
"1099",40001,-0.289820988212441,-0.200308679822643,-2.32955444873122,NA,NA,1.41445258820622
"1105",40002,-0.289820988212441,-0.166065869852197,NA,NA,NA,0.915467839913298
"1111",40004,-0.319133175595564,-0.405765539645322,-1.18618247280986,-0.100437725742678,NA,NA
"1117",40007,-0.563401403788252,-0.457129754600992,-0.788487872489389,-0.100437725742678,0.0321409682396282,NA
"1123",40010,0.120549635151275,1.13516090902477,-0.2913696220888,-0.314556180622282,-0.213061683454217,0.695914550664412
"1129",40011,-0.788128173725526,-0.285915704748759,NA,NA,NA,1.77372160697713
"1135",40014,0.530920258514992,-0.525615374541885,-0.73877604744933,-0.528674635501885,0.52254627162732,NA
"1141",40015,-0.387528279489517,0.00514818000003578,0.404595928472025,NA,-0.112095885697928,0.97534600970845
"1147",40016,-0.582942862043667,-0.457129754600992,-0.539928747289095,-0.796322704101389,-0.645772245266886,0.675955160732695
"1153",40017,0.648169008047482,0.981068264157761,NA,-0.261026566902381,0.811019979502433,0.596117601005827
"1159",40018,0.413671508982501,-0.217430084807866,NA,NA,NA,1.33461502847935
"1165",40019,0.0326130730019074,1.11803950403955,NA,1.07721377609514,0.161954136783429,-0.0825016566725491
"1171",40020,3.35466097642247,-0.491372564571438,-0.788487872489389,0.863095321215536,-0.573653818298108,0.675955160732695
"1177",40022,0.286652030322303,0.484547519586287,1.19998512911297,0.381328797736429,1.61874636155275,0.636036380869261
"1183",40026,0.00330088561878468,0.0736337999409288,-0.689064222409272,0.113680729136925,1.20045948513384,0.955386619776732
"1189",40027,0.403900779854794,-0.166065869852197,-0.490216922249036,0.113680729136925,-0.0111300879416383,0.256807972166639
"1195",40029,0.0716959895127374,-0.474251159586215,NA,0.0601511154170239,0.825443664896188,0.176970412439771
"1201",40036,-0.661108695065328,-0.542736779527108,0.056613153191612,-0.261026566902381,0.176377822177185,-0.202257996262851
"1202",20024,-0.113947863913706,-0.542736779527108,0.404595928472025,NA,-1.04963543629204,-0.182298606331134
"1208",21301,NA,NA,NA,NA,NA,NA
"1214",21302,NA,NA,NA,NA,NA,NA
"1220",21304,NA,NA,NA,NA,NA,NA
"1226",21305,NA,NA,NA,NA,NA,NA
"1232",21307,NA,NA,NA,NA,NA,NA
"1238",21312,NA,NA,NA,NA,NA,NA
"1244",21313,-0.319133175595564,-0.542736779527108,NA,NA,NA,0.376564311756941
"1255",40039,2.98337326956958,-0.491372564571438,NA,NA,-0.689043301448154,-0.381892505648303
"1261",40041,-0.436381925128054,-0.422886944630545,-0.390793272168918,-0.421615408062083,1.87837269864035,0.895508449981582
"1267",40047,0.10100817689586,-0.285915704748759,NA,NA,NA,NA
"1273",40050,-0.0553234891474605,-0.542736779527108,NA,1.77309875445385,1.79183058627782,0.157011022508054
"1279",40051,3.18855858125144,5.46687637028625,NA,NA,0.421580473871031,0.276767362098356
"1285",40055,0.530920258514992,1.42622479377357,-0.390793272168918,0.541917638896131,2.49859117057184,-0.561527015033756
"1291",40062,4.48806555523654,-0.405765539645322,0.00690132815155329,0.916624934935437,-0.400569593573041,-0.701242744555775
"1297",40067,0.599315362408944,-0.388644134660099,NA,NA,1.61874636155275,-0.341973725784869
"1303",40069,0.941290881878708,1.42622479377357,NA,2.20133566421306,1.61874636155275,0.31668614196179
"1309",40071,1.02922744402808,0.792732809320305,-1.18618247280986,-0.582204249221786,1.74855953009655,-0.322014335853152
"1315",40072,-0.582942862043667,-0.285915704748759,NA,NA,2.80148856384071,-0.162339216399417
"1321",40074,0.511378800259576,1.90562413335982,NA,1.98721720933345,NA,0.396523701688658
"1327",40076,-0.240967342573904,-0.542736779527108,NA,0.863095321215536,1.21488317052759,0.0971328527129036
"1333",40078,-0.0357820308920455,1.78577429846325,NA,NA,0.306190990720985,1.07514295936703
"1339",40080,-0.485235570766592,0.570154544512403,NA,NA,NA,1.2747368586842
"1345",40084,0.0619252603850299,-0.491372564571438,NA,-1.06397077270089,0.450427844658542,0.755792720459563
"1351",40085,-0.661108695065328,-0.0804588449260805,NA,NA,NA,0.935427229845015
"1357",40088,-0.4950062998943,-0.542736779527108,-0.838199697529448,NA,-0.458264335148063,-0.781080304282642
"1363",40114,-0.622025778554497,-0.508493969556662,0.00690132815155329,-0.153967339462579,-0.299603795816751,-0.302054945921435
"1369",40118,2.07469546069278,0.0565123949557055,-1.03704699768968,-0.314556180622282,-0.184214312666706,-0.222217386194568
"1375",40119,0.73610557019685,0.963946859172538,-0.241657797048741,0.381328797736429,-0.689043301448154,-1.00063359353153
"1381",40132,NA,NA,NA,NA,NA,NA
"1387",40134,-0.661108695065328,0.484547519586287,0.106324978231671,NA,NA,NA
"1393",40137,-0.407069737744932,0.0736337999409288,NA,NA,0.277343619933474,0.456401871483808
"1399",40147,NA,NA,NA,NA,0.508122586233565,NA
"1405",40152,NA,NA,NA,NA,NA,NA
"1411",40153,-0.53408921640513,-0.251672894778313,NA,NA,NA,1.23481807882077
"1417",41300,NA,NA,NA,NA,NA,NA
"1423",41302,-0.788128173725526,-0.542736779527108,NA,NA,NA,NA
"1429",41303,NA,NA,NA,NA,NA,NA
"1435",41304,NA,NA,NA,NA,NA,NA
"1441",41305,NA,NA,NA,NA,NA,NA
"1447",41306,NA,NA,NA,NA,NA,NA
"1453",41307,0.355047134216256,3.01851545739933,NA,1.39839145841454,NA,1.09510234929875
"1459",41308,-0.387528279489517,1.01531107412821,NA,NA,NA,NA
"1465",41309,NA,NA,NA,NA,NA,NA
"1471",41310,2.31896368888547,7.91523728317318,NA,NA,NA,-0.581486404965473
"1477",41311,-0.407069737744932,-0.268794299763536,NA,0.863095321215536,NA,-0.102461046604266
"1483",41312,-0.299591717340149,-0.491372564571438,NA,-0.689263476661587,1.41681476604017,-0.721202134487491
"1489",41313,-0.680650153320743,-0.422886944630545,NA,-1.11750038642079,NA,0.695914550664412
"1495",41314,NA,NA,NA,NA,NA,NA
"1501",41316,NA,NA,NA,NA,NA,NA
"1507",41317,NA,NA,NA,NA,NA,NA
"1513",41318,NA,NA,NA,NA,NA,NA
"1519",41319,NA,NA,NA,NA,NA,NA
"1525",41320,NA,NA,NA,NA,NA,NA
"1531",41321,-0.719733069831573,-0.542736779527108,NA,-0.582204249221786,1.04179894580252,-0.1423798264677
"1537",41322,NA,NA,NA,NA,NA,NA
"1543",41323,1.68386629558448,2.40214487793129,-0.0925223219285646,NA,NA,0.0572140728494695
"1549",41324,NA,NA,NA,NA,NA,NA
"1555",41326,NA,NA,NA,NA,NA,NA
"1561",41327,-0.250738071701611,-0.251672894778313,NA,0.809565707495635,2.85918330541573,0.616076990937544
"1567",41328,2.78795868701543,4.59368471603987,NA,-1.2245596138606,NA,-0.361933115716586
"1573",41329,-0.749045257214695,-0.251672894778313,NA,NA,NA,-0.202257996262851
"1579",41330,NA,NA,NA,NA,NA,NA
"1585",41331,NA,NA,NA,-1.4922076824601,NA,NA
"1591",43300,NA,NA,NA,NA,NA,NA
"1597",50002,-0.504777029022007,1.54607462867013,NA,-0.528674635501885,NA,-1.28006505257557
"1603",50006,0.999915256644953,-0.457129754600992,-1.08675882272974,-1.01044115898099,-2.29007238015503,-0.60144579489719
"1609",50007,-0.377757550361809,-0.422886944630545,0.106324978231671,-1.06397077270089,-0.472688020541819,1.73380282711369
"1615",50008,0.0716959895127374,-0.474251159586215,NA,NA,NA,NA
"1621",50009,0.794729944963095,-0.268794299763536,-0.490216922249036,-0.582204249221786,-0.472688020541819,0.0971328527129036
"1627",50013,-0.65133796593762,-0.542736779527108,-0.639352397369213,NA,NA,-0.581486404965473
"1633",50014,-0.309362446467856,-0.388644134660099,-0.341081447128859,NA,-0.73231435762942,-0.0226234868773981
"1639",50017,-0.749045257214695,-0.542736779527108,1.19998512911297,0.0601511154170239,NA,NA
"1645",50018,0.462525154621039,NA,NA,NA,NA,0.376564311756941
"1651",50022,-0.309362446467856,1.04955388409865,0.205748628311789,0.970154548655338,NA,0.276767362098356
"1657",50024,-0.377757550361809,-0.542736779527108,NA,NA,NA,NA
"1663",50025,-0.0944064056582907,-0.542736779527108,0.205748628311789,-0.20749695318248,-0.991940694717023,-0.162339216399417
"1669",50026,-0.211655155190781,-0.440008349615769,-0.788487872489389,0.274269570296627,-0.0976722003041724,NA
"1675",50028,-0.231196613446196,-0.440008349615769,NA,NA,NA,0.416483091620375
"1681",50030,0.745876299324557,-0.422886944630545,0.15603680327173,NA,-0.717890672235664,0.556198821142393
"1687",50036,-0.72950379895928,-0.440008349615769,-0.241657797048741,-0.314556180622282,NA,NA
"1693",50038,0.960832340134123,-0.508493969556662,-0.937623347609566,-0.261026566902381,0.782172608714922,-0.880877253941227
"1699",50039,-0.876064735874893,-0.542736779527108,-1.43474159801016,-0.153967339462579,NA,NA
"1705",50040,-0.876064735874893,-0.542736779527108,NA,-1.4922076824601,NA,NA
"1711",50042,-0.045552760019753,0.364697684689724,-1.03704699768968,-0.368085794342182,1.80625427167157,-1.04055237339496
"1717",50043,-0.065094218275168,-0.354401324689652,-0.241657797048741,-1.01044115898099,NA,-0.681283354624058
"1723",50045,-0.045552760019753,0.45030470961584,1.00113782895273,-0.635733862941686,1.41681476604017,-0.60144579489719
"1729",50047,-0.026011301764338,-0.405765539645322,1.29940877919308,-0.528674635501885,NA,-0.621405184828907
"1735",50054,-0.631796507682205,NA,NA,NA,NA,-0.721202134487491
"1741",50055,0.169403280789813,-0.405765539645322,-0.390793272168918,1.66603952701405,NA,-0.541567625102039
"1747",50056,-0.778357444597818,0.347576279704501,NA,-0.421615408062083,NA,NA
"1753",50057,-0.367986821234102,-0.354401324689652,-1.58387707313033,-0.582204249221786,0.363885732296009,-0.162339216399417
"1759",50058,-0.426611196000347,-0.491372564571438,-1.53416524809027,-0.475145021781984,NA,-0.461730065375171
"1765",50060,-0.602484320299082,-0.18318727483742,0.205748628311789,-0.582204249221786,NA,-0.381892505648303
"1771",50063,-0.367986821234102,-0.371522729674876,-2.32955444873122,0.916624934935437,NA,-1.0804711532584
"1777",50067,-0.631796507682205,-0.542736779527108,NA,NA,NA,0.11709224264462
"1783",50069,0.0912374477681525,-0.491372564571438,0.702866878712378,-1.3316188413004,NA,-0.262136166058002
"1789",50070,NA,NA,NA,NA,NA,NA
"1795",50071,NA,NA,NA,NA,NA,NA
"1801",50072,NA,NA,NA,NA,NA,NA
"1807",50073,NA,NA,NA,NA,NA,NA
"1813",50075,NA,NA,NA,NA,NA,NA
"1819",50076,NA,NA,NA,NA,NA,NA
"1825",50077,-0.543859945532837,-0.0975802499113037,1.59767972943344,0.648976866335933,0.392733103083519,-0.302054945921435
"1831",50078,0.130320364278983,-0.200308679822643,NA,-0.635733862941686,NA,1.09510234929875
"1837",50082,-0.797898902853233,-0.354401324689652,1.00113782895273,0.113680729136925,NA,NA
"1843",50084,-0.514547758149715,-0.268794299763536,NA,-0.100437725742678,NA,-0.461730065375171
"1849",50089,-0.260508800829319,NA,NA,NA,NA,-0.940755423736378
"1855",50090,-0.309362446467856,-0.457129754600992,-0.539928747289095,NA,1.41681476604017,-0.741161524419208
"1861",50091,-0.876064735874893,NA,NA,NA,NA,NA
"1867",50093,-0.592713591171375,-0.508493969556662,-1.33531794793004,-0.689263476661587,NA,0.176970412439771
"1873",50096,NA,NA,NA,NA,NA,NA
"1879",50099,0.941290881878708,-0.542736779527108,-0.142234146968623,-0.421615408062083,NA,0.715873940596129
"1885",50100,-0.758815986342403,-0.508493969556662,-0.639352397369213,1.18427300353494,NA,-0.00266409694568118
"1891",50101,-0.416840466872639,-0.422886944630545,-0.589640572329154,NA,NA,-0.282095555989719
"1897",50102,0.550461716770407,2.12820239816772,NA,NA,NA,-0.40185189558002
"1903",50103,0.306193488577718,-0.542736779527108,NA,-1.01044115898099,NA,1.53420892779652
"1909",50104,0.677481195430605,-0.388644134660099,NA,-0.314556180622282,NA,-1.10043054319011
"1915",50107,0.0521545312573224,0.279090659763608,-1.18618247280986,-1.01044115898099,-0.991940694717023,-0.1423798264677
