"","Provider.ID","H_CLEAN_LINEAR_SCORE_mean","H_COMP_1_LINEAR_SCORE_mean","H_COMP_2_LINEAR_SCORE_mean","H_COMP_3_LINEAR_SCORE_mean","H_COMP_4_LINEAR_SCORE_mean","H_COMP_5_LINEAR_SCORE_mean","H_COMP_6_LINEAR_SCORE_mean","H_COMP_7_LINEAR_SCORE_mean","H_HSP_RATING_LINEAR_SCORE_mean","H_QUIET_LINEAR_SCORE_mean","H_RECMND_LINEAR_SCORE_mean"
"899",100315,0.960299271790474,1.44873576964189,0.453349839811944,1.3028604045806,1.33006334678936,1.21867691946987,1.15686625431766,1.56466236214427,1.62699028954659,1.55646242369386,1.82584453836052
"900",100316,1.47856540185832,0.661047443556372,0.045776483056357,-0.0627392067740372,0.556352672626839,0.284582063185323,0.309565783829871,0.515506153211088,0.392473026640746,0.381664277889213,0.452055454088974
"901",100319,1.2194323368244,0.661047443556372,0.453349839811944,1.3028604045806,0.556352672626839,0.518105777256461,0.591999273992468,1.21494362583321,1.31836097382013,1.16486304175898,1.36791484360334
"902",100320,-0.076232988345213,-0.914329208614655,-0.36179687369923,-0.517939077225581,-0.604213338616938,-1.58360764938378,-1.10260166698311,-2.2822437372774,-0.842044236265094,0.773263659824095,-0.234839088046799
"903",100321,-0.076232988345213,-0.126640882529141,-0.36179687369923,-0.973138947677126,-0.217358001535679,-0.182465364956953,0.591999273992468,0.515506153211088,0.701102342367206,0.381664277889213,0.909985148846157
"904",100322,-3.18582976875227,-4.85277083904222,-4.68869752235574,-2.56633849425753,-4.85962204651079,-2.75122621973947,2.28660021496805,-4.03083741883271,-3.61970807780323,-2.5553310866224,-2.98241725658989
"905",100326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906",101300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907",101301,-0.076232988345213,-0.914329208614655,-1.17694358721041,-0.0627392067740372,-0.604213338616938,-1.58360764938378,-0.255301196495323,-1.58280626465528,-0.533414920538634,-0.205734795013109,-1.37966332493976
"908",101302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909",101303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910",101304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911",101305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912",101307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913",101308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914",101309,-0.594499118413057,0.661047443556372,-1.17694358721041,-0.290339141999809,-0.604213338616938,0.751629491327599,0.874432764155065,-0.883368792033156,-0.842044236265094,1.16486304175898,-1.15069847756116
"915",101310,-0.335366053379135,0.267203280513615,0.045776483056357,-0.517939077225581,-0.604213338616938,0.985153205398737,0.0271322936672738,-0.183931319411034,0.0838437109142859,0.577463968856654,-0.692768782803982
"916",101311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"917",101312,0.442033141722631,1.05489160659913,0.453349839811944,1.53046033980637,1.33006334678936,1.45220063354101,-1.38503515714571,-0.533650055722095,0.392473026640746,1.16486304175898,-0.0058742406682081
"918",101313,1.73769846689224,2.2364240957274,2.49121662358988,2.44086008070946,2.87748469511439,2.85334291796784,1.43929974448026,2.26409983476639,2.24424892099951,1.55646242369386,1.82584453836052
"919",103300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"920",103301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921",103303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"922",103304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923",110001,-0.594499118413057,0.267203280513615,0.045776483056357,-0.0627392067740372,-0.604213338616938,-0.415989079028091,-0.820168176820518,0.165787416900027,0.0838437109142859,-0.205734795013109,-0.0058742406682081
"924",110002,1.47856540185832,0.661047443556372,1.26849655332312,0.620060598903279,0.943208009708099,0.751629491327599,0.309565783829871,0.515506153211088,0.0838437109142859,0.773263659824095,-0.234839088046799
"925",110003,-0.594499118413057,-0.126640882529141,0.045776483056357,-0.290339141999809,-0.217358001535679,-0.415989079028091,-0.255301196495323,-0.183931319411034,-0.842044236265094,-0.00993510404566814,-0.921733630182573
